price,volume,closing_time
225.94000000,339.69800000,1757610299999
226.95000000,425.30900000,1757610599999
226.99000000,279.62100000,1757610899999
227.02000000,391.75300000,1757611199999
227.43000000,247.07100000,1757611499999
227.33000000,52.71100000,1757611799999
227.30000000,49.55500000,1757612099999
227.57000000,79.55200000,1757612399999
227.67000000,96.79200000,1757612699999
227.09000000,235.14200000,1757612999999
227.50000000,100.85500000,1757613299999
227.68000000,113.39800000,1757613599999
227.67000000,88.11200000,1757613899999
227.55000000,372.78400000,1757614199999
227.37000000,212.72000000,1757614499999
226.94000000,145.88500000,1757614799999
226.47000000,139.23600000,1757615099999
226.49000000,75.76000000,1757615399999
226.70000000,215.38400000,1757615699999
226.34000000,634.28000000,1757615999999
226.53000000,485.29200000,1757616299999
226.39000000,229.27400000,1757616599999
226.15000000,265.26900000,1757616899999
226.56000000,166.42600000,1757617199999
226.43000000,164.56400000,1757617499999
226.24000000,364.56500000,1757617799999
226.26000000,104.33000000,1757618099999
226.28000000,430.68300000,1757618399999
226.55000000,185.04200000,1757618699999
226.69000000,172.72700000,1757618999999
226.89000000,256.33000000,1757619299999
226.96000000,39.55000000,1757619599999
226.73000000,87.01400000,1757619899999
226.78000000,348.71600000,1757620199999
226.68000000,264.41800000,1757620499999
226.71000000,134.18400000,1757620799999
226.34000000,315.18800000,1757621099999
226.37000000,21.72300000,1757621399999
226.07000000,85.32300000,1757621699999
225.90000000,100.41600000,1757621999999
225.90000000,302.85900000,1757622299999
226.07000000,86.37000000,1757622599999
225.70000000,118.36800000,1757622899999
225.83000000,6.22600000,1757623199999
226.24000000,402.69800000,1757623499999
226.24000000,377.02200000,1757623799999
226.04000000,195.91700000,1757624099999
225.70000000,152.55100000,1757624399999
226.18000000,99.92800000,1757624699999
226.38000000,9.14800000,1757624999999
226.47000000,144.22500000,1757625299999
226.61000000,148.58400000,1757625599999
226.30000000,171.56900000,1757625899999
226.50000000,236.34200000,1757626199999
226.22000000,127.07000000,1757626499999
226.52000000,163.07600000,1757626799999
226.86000000,477.58700000,1757627099999
226.98000000,213.95600000,1757627399999
227.07000000,112.73900000,1757627699999
226.88000000,248.29200000,1757627999999
226.78000000,258.13000000,1757628299999
227.19000000,423.34900000,1757628599999
227.62000000,1003.23700000,1757628899999
228.01000000,168.00600000,1757629199999
228.16000000,257.82000000,1757629499999
228.57000000,241.71200000,1757629799999
